City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nagqu,31.5,92.0,6.05,92,100,2.91,CN,1721964849
1,manokwari,-0.8667,134.0833,27.9,73,79,1.53,ID,1721964850
2,thompson,55.7435,-97.8558,24.09,69,100,2.57,CA,1721964851
3,fort st. john,56.2499,-120.8529,16.94,63,75,3.09,CA,1721964852
4,woodland,38.6785,-121.7733,32.92,29,0,4.63,US,1721964854
5,kailua-kona,19.6406,-155.9956,28.98,80,75,5.14,US,1721964855
6,kerikeri,-35.2268,173.9474,17.17,69,11,0.89,NZ,1721964856
7,waitangi,-43.9535,-176.5597,9.9,89,28,1.34,NZ,1721964857
8,arraial do cabo,-22.9661,-42.0278,21.3,81,0,7.92,BR,1721964858
9,mount pearl,47.5166,-52.7813,13.51,89,0,3.09,CA,1721964859
10,margaret river,-33.95,115.0667,13.91,66,18,1.8,AU,1721964861
11,ribeira grande,38.5167,-28.7,23.76,95,8,4.02,PT,1721964862
12,port-aux-francais,-49.35,70.2167,0.85,75,98,10.44,TF,1721964863
13,lake albert,-35.1667,147.3833,14.1,58,3,1.46,AU,1721964864
14,brookings,44.3114,-96.7984,23.19,95,0,5.66,US,1721964794
15,bethel,41.3712,-73.414,20.56,75,0,0.45,US,1721964866
16,lihue,21.9789,-159.3672,25.97,75,75,7.2,US,1721964868
17,kemi,65.8596,24.8228,17.87,82,0,1.54,FI,1721964869
18,blackmans bay,-43.0167,147.3167,13.62,53,83,1.79,AU,1721964870
19,tobelo,1.7284,128.0095,29.2,71,77,3.53,ID,1721964871
20,chibougamau,49.9168,-74.3659,14.79,72,0,2.06,CA,1721964872
21,willowmore,-33.2926,23.4895,7.24,48,0,3.01,ZA,1721964873
22,college,64.8569,-147.8028,28.99,45,75,2.06,US,1721964875
23,qaqortoq,60.7167,-46.0333,5.59,91,32,2.29,GL,1721964876
24,hawaiian paradise park,19.5933,-154.9731,24.46,89,100,2.57,US,1721964877
25,olonkinbyen,70.9221,-8.7187,5.41,86,82,6.05,SJ,1721964878
26,punta arenas,-53.15,-70.9167,2.06,87,75,8.75,CL,1721964879
27,houghton,47.1219,-88.569,16.86,91,0,2.06,US,1721964880
28,iskateley,67.6803,53.1512,10.19,64,69,5.25,RU,1721964882
29,puerto natales,-51.7236,-72.4875,4.37,81,99,7.3,CL,1721964883
30,harper,4.375,-7.7169,23.71,85,100,3.4,LR,1721964884
31,albany,42.6001,-73.9662,18.84,77,8,4.6,US,1721964885
32,ancud,-41.8697,-73.8203,6.23,79,43,2.51,CL,1721964886
33,kathu,7.9178,98.3332,31.9,74,90,2.33,TH,1721964888
34,la cruz,23.9167,-106.9,28.05,78,0,0.79,MX,1721964889
35,port elizabeth,-33.918,25.5701,14.62,63,0,2.24,ZA,1721964892
36,adamstown,-25.066,-130.1015,20.38,70,9,3.67,PN,1721964893
37,tiksi,71.6872,128.8694,5.89,70,2,2.41,RU,1721964894
38,amursk,50.2261,136.8994,24.25,59,0,2.5,RU,1721964896
39,grytviken,-54.2811,-36.5092,-3.11,82,100,5.06,GS,1721964897
40,bondo,3.8146,23.6866,20.65,89,100,0.35,CD,1721964898
41,outes,42.8619,-8.9018,18.55,87,14,1.51,ES,1721964899
42,saipan,15.1355,145.701,28.39,89,75,3.6,MP,1721964900
43,kodiak,57.79,-152.4072,14.73,82,100,6.17,US,1721964902
44,hermanus,-34.4187,19.2345,10.45,89,99,7.39,ZA,1721964903
45,mirriah,13.7073,9.1501,27.13,68,16,5.81,NE,1721964904
46,nacala,-14.5428,40.6728,16.98,87,0,2.35,MZ,1721964907
47,yellowknife,62.456,-114.3525,19.29,68,100,2.57,CA,1721964908
48,mahibadhoo,3.7833,72.9667,28.98,72,100,2.02,MV,1721964909
49,rocha,-34.4833,-54.3333,8.76,72,100,1.13,UY,1721964910
50,mount isa,-20.7333,139.5,27.87,36,34,4.12,AU,1721964617
51,auki,-8.7676,160.7034,28.73,76,82,3.95,SB,1721964913
52,yung shue wan,22.2333,114.1167,30.74,88,100,10.27,HK,1721964914
53,tofol,5.3248,163.0078,31.88,62,75,2.57,FM,1721964915
54,papatowai,-46.5619,169.4708,12.65,70,100,2.65,NZ,1721964916
55,uturoa,-16.7333,-151.4333,25.79,66,99,6.05,PF,1721964917
56,korpilahti,62.0167,25.55,17.3,77,13,0.39,FI,1721964919
57,namsos,64.4662,11.4957,15.03,94,19,3.6,NO,1721964920
58,akureyri,65.6835,-18.0878,8.96,100,100,3.09,IS,1721964921
59,port alfred,-33.5906,26.891,13.71,50,0,3.88,ZA,1721964922
60,edinburgh of the seven seas,-37.0676,-12.3116,13.69,86,81,12.48,SH,1721964923
61,paracuru,-3.41,-39.0306,26.73,78,10,6.08,BR,1721964925
62,yatou,37.15,122.3833,29.1,80,100,6.25,CN,1721964926
63,avarua,-21.2078,-159.775,24.03,73,40,4.63,CK,1721964814
64,puerto ayora,-0.7393,-90.3518,19.19,100,77,4.02,EC,1721964928
65,utrik,11.2278,169.8474,28.1,79,41,8.84,MH,1721964931
66,ilulissat,69.2167,-51.1,6.01,93,75,1.54,GL,1721964932
67,pisco,-13.7,-76.2167,14.45,88,6,1.03,PE,1721964933
68,dobje pri planini,46.1367,15.4089,14.94,83,24,0.77,SI,1721964934
69,hammerfest,70.6634,23.6821,18.25,72,40,1.54,NO,1721964935
70,udachny,66.4167,112.4,10.12,84,100,4.96,RU,1721964937
71,ushuaia,-54.8,-68.3,1.81,80,100,3.09,AR,1721964938
72,bredasdorp,-34.5322,20.0403,12.61,82,95,5.67,ZA,1721964939
73,nyurba,63.2842,118.3319,22.16,62,88,3.61,RU,1721964940
74,wailua homesteads,22.0669,-159.378,25.63,77,75,7.2,US,1721964942
